begin_node_id,end_node_id,Other Volume
589100232,42451018,4164
358447541,42444933,1872
279603573,276209340,1124
42833276,597443929,2755
42469898,42477282,1041
106089178,106089864,5839
276298577,2089938041,5071
380059967,42497720,769
588175753,42796436,1342
103877626,103868269,1979
277482205,277482097,6170
42519230,42519232,2795
42519223,42519230,2795
42519202,42519809,2855
42912776,42900647,5067
2387504625,1696727885,401
42519232,42517465,2991
42519207,42517910,1424
42449597,2821304136,2274
42520559,42475325,971
277482107,277482066,6171
277482105,277482107,3085
277482097,277482339,3084
561042194,42449683,686
61271527,1825732607,9680
561042193,42449683,586
42519250,42514188,2308
42469214,42492412,4745
42520686,42469492,1046
205026279,278609760,2683
561042188,42449308,2133
42519258,42513498,386
588593353,246899801,4462
42764835,42764839,2320
42764819,42764829,1230
42468747,42505383,2252
42764829,42763894,1230
561042204,42446959,1687
588593097,42433718,4840
561042197,42446949,996
561042194,42446945,992
561042193,42446941,668
2141026551,42439878,2952
42861204,42920889,1543
2141026540,42439891,2959
2141026538,42439860,1922
2141026538,42439858,4506
42519238,42511349,2309
276203987,276204366,3642
276203987,276204325,2230
561042197,42445653,637
561042188,42445903,1904
42518976,42518972,1114
561042194,42445653,279
2141026510,42439858,1921
42520415,42474121,2252
42861164,42920894,3036
2141026504,42439851,3428
471243875,42747190,2633
2141026501,42439861,2249
2141026498,42439851,3310
42519812,42492409,491
2141026493,42439868,2846
371231343,371225085,1871
42469395,42482032,2303
42733678,595801192,3235
482655346,42884818,829
561042204,42443804,368
2141026544,42437211,2954
2141026538,42435802,675
42768534,2912071211,1985
2141026515,42436003,3291
1258945651,278632502,2653
2141026505,42435858,1712
371231224,371225132,17375
371239960,1369722086,4567
2141026493,42435810,914
42430594,246580466,1915
42469640,42470387,1678
103877570,103855864,6946
42764839,42756130,2320
42518571,42526050,878
42424098,371037281,989
42912767,42888656,2407
42764849,42755148,2320
277481749,277481750,13827
2141026500,42433743,2939
42469612,42469606,1312
42812173,42860206,5938
301546017,1293095295,1484
2141026510,42432905,1567
2141026504,42432900,1142
889585049,42427412,2459
42448338,596775951,1670
42448338,596775919,1919
2141026544,42431207,1282
42765242,42741098,1631
296933787,103857853,1248
42518710,42518716,166
42519223,42502645,2508
42427504,1544809889,2878
42469624,42467033,1342
277136465,42815933,1305
2141026551,42429536,3291
103876754,103876732,9261
371034153,371037077,13686
2141026510,42429732,2528
2141026515,42429536,3951
2141026504,42429732,3822
42861216,42908871,2315
561042193,42434951,2063
589100393,42423774,17408
42469475,42469478,1572
42469472,42469475,1572
42448216,596776127,1060
42448216,596776120,1027
42520210,42469118,1230
476241458,599270645,1365
277481542,277481814,7317
561042200,42432444,1020
42911782,42911763,2931
2216963516,42433870,2644
42519202,42498552,1230
42911763,42911782,2002
42861196,42906428,987
42469391,42469395,2303
42469389,42469382,1078
42518739,42512120,1438
42518588,42516389,1718
277481423,277482762,11113
1258945357,278630368,1471
277481436,277481749,13260
589100267,42422509,8080
42446182,2799368116,1627
103876893,103864941,4629
42469212,42469214,990
486868873,486867490,1052
42427828,246650510,11580
2481865390,1773063789,2120
103237100,103245957,1979
42811451,42866518,1993
42810967,42880853,1046
42844301,276203987,2905
42467463,42518580,1718
486819535,486819536,6446
42423579,371034158,2092
103876555,103867934,1979
308693080,308679528,4630
308693078,308679524,4630
42423565,371034153,6889
42763894,42764835,1230
42518972,42492540,1114
42467848,42502968,1472
2447703173,42874679,2144
42811446,42861252,383
103867019,752178858,4630
42519271,42480534,1303
42467919,42498514,5833
42427494,246650840,554
103875882,103882339,6953
451020319,451018391,10327
276067533,42899921,1492
42519258,42478109,3076
595314120,595314119,1854
370927297,42452882,770
42468453,42479028,856
42468449,42479021,977
42431363,595703314,1826
486868138,486876059,629
42518580,42496521,1718
42519216,42476721,2772
595314036,595314040,2162
451018391,451074820,10327
42809790,42904563,1438
42444353,279151954,1855
42811340,42855098,1313
2447703173,42864879,1975
593301322,593216034,2144
42467403,42504433,1260
42860617,42896831,1715
42447230,596776032,928
246890579,42453442,4789
42517597,42519216,2233
42466950,42516250,1438
42861190,42876764,1224
42447166,596776260,575
1657671821,42764835,2850
42517603,42517600,511
42517600,42517597,539
2837053797,2318033748,9261
42437928,2481877067,1977
42466491,42527868,1486
42860179,42906104,5938
42447105,596776089,771
42809536,42902909,1362
103875882,103866383,8593
42439454,1061531707,895
593973910,358448394,2415
42517465,42517467,823
277768073,2089937994,5071
103875777,103867019,6946
42466266,42529939,1616
42910603,42910593,694
42466440,42523094,1325
42860012,42904433,2229
100659881,277481443,10535
2447703182,42849658,1715
595757814,60921026,2532
42437670,593915305,1054
530754330,103132818,8138
42445037,2698702581,692
42859957,42904454,1709
42433281,1692433942,1684
246890579,42440527,2235
42859920,42904507,2723
482640607,482640620,1645
42443156,595314036,2164
42860618,42880331,2472
482640620,482639370,1645
42435636,593973910,912
42432438,561042200,1437
596271291,471243699,11922
278642254,486819531,12585
42517097,42517094,1438
248709733,248709714,1611
42517087,42517081,1230
248709714,248709733,1337
42836513,1904847201,3646
42467919,42467912,1261
486867548,486867605,2596
42441777,595352927,1479
42467929,42466383,1474
42810501,42856569,2114
486867605,486864444,9337
42517467,42502653,823
42467848,42467844,1760
62915527,42453555,9838
246890279,42440918,5770
486867405,486868873,1065
597328332,597328336,8635
486867432,486867405,3222
42467912,42464292,1261
248709587,248709390,1210
42446461,596776078,1175
42446461,596776041,952
42438862,1061531695,593
42762533,42766934,1631
246890279,42438060,2084
42437580,2481865390,2101
42517476,42497788,2117
42517021,42511729,1347
42467033,42488442,1342
42517465,42497773,2710
42431099,587812578,594
42517910,42483640,1424
42861252,42849847,383
246890279,42436024,4825
103882084,440243651,6945
248709390,248709587,1065
42466412,42504046,1575
451068157,451068180,7332
451068154,451068157,2443
42466438,42502404,1002
451068180,451066683,7332
482652239,42909624,2819
62915536,42443549,6854
62915531,42443549,3329
42467081,42481677,1978
62915525,42443570,6994
42429211,595729841,4629
482640607,482623180,2373
42446155,596776546,1076
42467396,42469876,728
42446138,596776201,1266
62915536,42440253,5040
42466454,42497788,1294
42446099,596776166,1771
42446086,596776260,3432
42860618,42860617,1041
42860617,42860618,1362
42446070,596776177,463
595352904,561035372,5046
482640649,482617546,1645
