begin_node_id,end_node_id,lanes
103877626,103868269,1
277482205,277482097,2
42519230,42519232,1
42519223,42519230,1
42519202,42519809,1
42912776,42900647,2
2387504625,1696727885,1
42519232,42517465,1
42519207,42517910,1
42449597,2821304136,1
42520559,42475325,1
277482107,277482066,2
277482105,277482107,1
277482097,277482339,1
561042194,42449683,1
61271527,1825732607,6
561042193,42449683,1
42519250,42514188,1
42469214,42492412,2
42520686,42469492,1
205026279,278609760,1
561042188,42449308,2
42519258,42513498,1
588593353,246899801,2
42764835,42764839,1
42764819,42764829,1
42468747,42505383,1
42764829,42763894,1
561042204,42446959,2
588593097,42433718,2
561042197,42446949,1
561042194,42446945,1
561042193,42446941,1
2141026551,42439878,2
42861204,42920889,2
2141026540,42439891,2
2141026538,42439860,2
2141026538,42439858,2
42519238,42511349,1
276203987,276204366,2
276203987,276204325,1
561042197,42445653,1
561042188,42445903,1
42518976,42518972,1
561042194,42445653,1
2141026510,42439858,2
42520415,42474121,1
42861164,42920894,1
2141026504,42439851,2
471243875,42747190,1
2141026501,42439861,1
2141026498,42439851,2
42519812,42492409,1
2141026493,42439868,2
371231343,371225085,1
42469395,42482032,1
42733678,595801192,3
482655346,42884818,1
561042204,42443804,1
2141026544,42437211,2
2141026538,42435802,1
42768534,2912071211,1
2141026515,42436003,2
1258945651,278632502,1
2141026505,42435858,1
371231224,371225132,6
371239960,1369722086,2
2141026493,42435810,1
42430594,246580466,1
42469640,42470387,1
103877570,103855864,3
42764839,42756130,1
42518571,42526050,1
42424098,371037281,2
42912767,42888656,1
42764849,42755148,1
277481749,277481750,5
2141026500,42433743,2
42469612,42469606,1
42812173,42860206,3
301546017,1293095295,2
2141026510,42432905,2
2141026504,42432900,2
889585049,42427412,2
42448338,596775951,1
42448338,596775919,2
2141026544,42431207,1
42765242,42741098,1
296933787,103857853,2
42518710,42518716,1
42519223,42502645,1
42427504,1544809889,2
42469624,42467033,1
277136465,42815933,1
2141026551,42429536,2
103876754,103876732,4
371034153,371037077,6
2141026510,42429732,2
2141026515,42429536,2
2141026504,42429732,2
42861216,42908871,1
561042193,42434951,2
589100393,42423774,6
42469475,42469478,1
42469472,42469475,1
42448216,596776127,1
42448216,596776120,1
42520210,42469118,1
476241458,599270645,1
277481542,277481814,4
561042200,42432444,1
42911782,42911763,2
2216963516,42433870,1
42519202,42498552,1
42911763,42911782,2
42861196,42906428,1
42469391,42469395,1
42469389,42469382,1
42518739,42512120,1
42518588,42516389,1
277481423,277482762,5
1258945357,278630368,1
277481436,277481749,5
589100267,42422509,4
42446182,2799368116,1
103876893,103864941,2
42469212,42469214,1
486868873,486867490,2
42427828,246650510,4
2481865390,1773063789,2
103237100,103245957,1
42811451,42866518,1
42810967,42880853,1
42844301,276203987,1
42467463,42518580,1
486819535,486819536,6
42423579,371034158,2
103876555,103867934,1
308693080,308679528,2
308693078,308679524,2
42423565,371034153,4
42763894,42764835,1
42518972,42492540,1
42467848,42502968,1
2447703173,42874679,1
42811446,42861252,1
