begin_node_id,end_node_id,Length
561042188,42449308,78.834
42519258,42513498,82.163
588593353,246899801,156.836
42764835,42764839,84.552
42764819,42764829,84.241
42468747,42505383,66.653
42764829,42763894,75.729
561042204,42446959,146.335
588593097,42433718,61.962
561042197,42446949,146.498
561042194,42446945,145.702
561042193,42446941,144.543
2141026551,42439878,79.956
42861204,42920889,77.458
2141026540,42439891,78.648
2141026538,42439860,79.595
2141026538,42439858,79.886
42519238,42511349,79.514
276203987,276204366,81.263
276203987,276204325,139.611
561042197,42445653,78.504
561042188,42445903,145.745
42518976,42518972,140.217
561042194,42445653,78.334
2141026510,42439858,79.618
42520415,42474121,76.477
42861164,42920894,78.453
2141026504,42439851,79.241
471243875,42747190,241.076
2141026501,42439861,84.974
2141026498,42439851,80.067
42519812,42492409,88.832
2141026493,42439868,76.695
371231343,371225085,268.045
42469395,42482032,56.035
42733678,595801192,44.609
482655346,42884818,138.624
561042204,42443804,53.995
2141026544,42437211,79.993
2141026538,42435802,267.647
42768534,2912071211,45.179
2141026515,42436003,78.894
1258945651,278632502,136.081
2141026505,42435858,265.055
371231224,371225132,192.095
371239960,1369722086,76.696
2141026493,42435810,266.806
42430594,246580466,59.467
42469640,42470387,278.311
103877570,103855864,77.72
42764839,42756130,109.859
42518571,42526050,99.555
42424098,371037281,141.677
42912767,42888656,83.285
42764849,42755148,105.559
277481749,277481750,113.872
2141026500,42433743,74.266
42469612,42469606,198.293
42812173,42860206,79.784
301546017,1293095295,184.186
2141026510,42432905,253.282
2141026504,42432900,156.021
889585049,42427412,67.522
42448338,596775951,79.501
42448338,596775919,79.415
2141026544,42431207,265.167
42765242,42741098,133.777
296933787,103857853,54.887
42518710,42518716,207.084
42519223,42502645,168.131
42427504,1544809889,150
42469624,42467033,85.199
277136465,42815933,123.727
2141026551,42429536,81.532
103876754,103876732,305.092
371034153,371037077,299.837
2141026510,42429732,79.723
2141026515,42429536,79.619
2141026504,42429732,80.099
42861216,42908871,79.312
561042193,42434951,77.15
589100393,42423774,168.381
42469475,42469478,79.775
42469472,42469475,93.54
