begin_node_id,end_node_id,FFTT
42860017,42860012,14.24432515
1061531631,42431108,6.554447853
1061531707,42428590,2.34052672
276299282,276298577,4.415469189
42859209,42884832,2.01874201
1061531695,42428645,2.104500128
42517603,42461394,8.182562005
1061531637,42428682,2.043952953
1061531575,42431118,4.78793456
1112485544,103880448,4.004498978
103873768,103881214,5.644271686
42859957,42859942,16.03041922
1061531645,42428661,2.061902327
476025435,1895628122,4.140577857
1061531608,42428601,2.290309384
1061531550,42431030,5.526022495
1061531634,42428640,2.169572999
1061531631,42428725,1.989388903
1061531839,42421809,2.066581437
42466401,42476648,3.157824753
42466398,42476648,4.041871166
103873766,103873768,3.836400818
42861161,42818588,2.112963436
42908259,42932921,2.040910253
1061531504,42431102,6.481288344
42465738,42496115,12.11134969
42464848,42523691,5.223364008
2912071217,42768516,2.688066826
1061531527,42429999,8.123568507
42427494,246580466,8.496370143
370897167,589100711,11.14860649
607920363,42446424,3.773006135
2912071211,42768535,2.120968292
1061531768,42422016,6.498466258
42439191,589100711,3.921401176
1061531550,42428661,2.071004858
1061531454,42431019,3.56699625
1061531654,42421741,6.837572451
42431187,561035334,13.5853272
42908962,42908954,4.064212679
1061531504,42428720,2.075735106
1061531717,42421749,2.899727242
42445230,596776009,2.683736788
1934650086,2447553689,58.33505497
276299054,276299053,1.977448223
1061531654,42421749,1.87006478
42908922,42908916,4.202096115
42516250,42499172,12.31370143
42466306,2312641457,1.162439274
1061531454,42428065,2.225210943
1061531447,42428583,2.408284326
42908916,42908911,4.288803681
42465874,42465878,2.638390726
42466249,42466244,2.664098193
42810479,42810477,6.68502045
42466499,42466496,4.034969325
42466512,42466510,3.878169734
42466517,42466514,4.030368098
60007332,1381944089,1.991127589
42517094,42471595,2.789516748
42466513,42466512,3.731186094
42466514,42466513,4.058793456
42516389,42493251,11.97837423
42466500,42466499,4.010429448
42466506,42466503,4.058026585
42466510,42466508,4.069887526
42466508,42466506,4.034969325
42466196,42475971,11.43931493
42466503,42466502,4.063087935
42466502,42466500,4.107924335
42810491,42810479,8.158231084
276065908,42874694,7.649897751
42466492,42466491,4.058537832
42466496,42466495,4.08609407
42466495,42466492,4.006441718
42466468,42466454,4.06303681
42466491,42466481,4.092280164
42466481,42466468,4.05291411
42466383,42467919,4.403118609
42466447,42466440,3.922392638
482652239,42874694,3.890078418
42466454,42466447,4.050920245
1061531550,42421809,2.044387625
42809955,42827615,8.097188139
42466440,42466438,3.892229039
42466249,42466259,2.705523355
598228039,42480537,5.307569558
103873526,103876555,3.783895706
1061531509,42421972,2.321810279
42516043,42500683,4.07908998
42466405,42466401,1.990010228
42466389,42466395,4.014110429
103878112,2735660226,2.232492329
42466395,42466398,4.025817996
42761233,42761235,2.91104671
1112485711,103861407,3.853118609
42466376,42466378,4.011656442
1061531454,42421775,2.195116339
42761235,42761237,2.698465735
42761245,42761249,2.717013297
42861200,42808193,1.973791869
42437305,1061531550,7.719171779
2807666064,42885397,3.631382979
42466290,42466299,2.706239345
42466299,42466306,2.903477668
42856797,1064257420,3.702607362
42466282,42466273,2.708285032
42466290,42466282,2.707534947
42466282,42466290,2.707534947
103873489,103873490,3.427003069
42466266,42466273,2.727173542
42466273,42466282,2.708285032
42466273,42466266,2.727173542
42466259,42466249,2.705523355
42466266,42466259,2.687214456
42466259,42466266,2.687214456
42465878,42465881,2.732253665
277385050,42866377,2.103451803
42429394,595682316,2.811860941
42441299,595314120,19.7875895
42466239,42466244,2.739822707
42466244,42466249,2.664098193
42466244,42466239,2.739822707
42466234,42466227,2.704227753
42466239,42466234,2.700272758
42466234,42466239,2.700272758
42466209,42466204,2.695056256
42466219,42466227,2.703648142
42466227,42466234,2.704227753
42466227,42466219,2.703648142
42466214,42466209,2.719706785
42466219,42466214,2.70085237
42466214,42466219,2.70085237
42761088,42761092,5.018813906
42466191,42466189,2.706716672
42466202,42466200,2.591237641
42466204,42466202,3.611489942
42860194,42835415,2.979723856
42466192,42466191,2.697238323
42466200,42466196,2.825468803
42466196,42466192,8.106000682
42466179,42466172,2.661200136
42466186,42466184,2.706887146
42466189,42466188,2.725809751
42466188,42466186,2.679815888
42466180,42466179,2.700477327
42466184,42466183,2.702011592
42466183,42466180,2.700477327
42911782,593300772,3.208872411
42465233,42491625,2.17844541
597444023,106100961,5.191945794
1064257394,42846335,6.333651551
42761082,42761088,2.275102249
42761006,42763131,8.837167689
276065579,42874694,2.48111149
276298606,276299309,2.037535157
42466172,42465649,2.74875554
42465234,42491625,3.628323108
42515829,42497780,1.992099207
42515844,42497624,6.344427403
561042202,100522731,14.1843164
42757938,2025188866,2.051342368
42808179,42872060,10.27893661
2757013684,42860247,2.145282536
42465893,42465899,2.808046369
42427242,1584024995,3.793762781
42464934,42500051,4.806083845
103873490,103866947,3.194613024
598227835,42478164,3.328503239
42760885,42760889,4.360736196
598227849,42476753,4.304670985
295516882,295517111,3.427767834
449616592,598248807,3.768703656
2569923500,42453398,4.519483508
42514918,42520415,4.361349693
405984035,42450656,2.954206085
42465899,42465906,2.631299011
42465926,42465770,2.703784521
42465906,42465738,2.722775315
42428922,561035357,2.069342879
42465265,42465263,3.260433715
42809589,42809585,4.155112474
42858918,42858920,3.152710535
276032821,371034162,8.870749169
42480088,1692483438,1.114088468
42444487,596776173,7.36595092
42515023,42515022,9.782464213
42505420,598033003,1.580260803
42465852,42465857,2.669553358
42909624,42864880,2.75189226
42761249,42745890,2.704807364
42808195,42861204,2.008412171
449618008,598202939,5.012221938
42514454,42531627,4.069580777
276065579,42864879,3.409001637
42761340,42741118,3.986912065
276318043,42901546,4.833179959
42909564,42864781,1.985962669
42858920,42858924,2.127787249
589298625,42450645,4.581130146
42761092,42748183,5.27801636
42807755,42874655,2.806409819
42465857,42463398,2.768257757
42858980,42858987,2.156222298
42858987,42858990,7.284555063
42761237,42743425,2.734469826
42858924,42858925,2.763314013
42858939,42858943,4.668257757
42465728,42465893,2.645584726
42858943,42858947,1.552199114
42809781,42809784,11.58650307
42809787,42809790,12.52776074
42809784,42809787,9.52597137
42809593,42809589,4.040848671
42809642,42809639,4.032566462
42859976,42825307,10.4450409
42858907,42858910,1.879679509
42858913,42858918,1.658983975
42858910,42858913,1.696488237
42860167,42819392,2.604960368
42464827,42492210,4.066007501
42858898,42858903,2.183293556
42809645,42809642,3.987474438
277386523,42802987,2.503527607
42464538,42500039,2.888599182
42465257,42477241,12.18496933
42809649,42809645,7.899897751
42465279,42475977,12.06339468
42809660,42809649,9.808640082
42809596,42809593,4.047494888
42809627,42809624,4.075306748
42809639,42809637,6.419427403
2757013712,42842881,2.044566607
276067533,42795952,2.386860941
42809630,42809627,4.171830266
42809637,42809632,4.044325153
42809632,42809630,4.199795501
42809599,42809596,4.047494888
42809618,42809615,4.043711656
42809624,42809622,4.047392638
42809622,42809618,4.044427403
42909227,42866903,2.968871463
42809615,42809611,4.048108384
42809602,42809599,4.030521472
42465267,42465265,3.243166939
103879734,440243679,2.401363791
2141026493,2141026501,2.068729225
42809560,42809554,3.958128834
42809579,42809568,6.322597137
42809585,42809582,7.563139059
42809582,42809579,4.969631902
103872293,103886410,3.796165644
42516187,42467396,2.692703716
42809568,42809560,19.20869121
2408421436,481404934,7.258527231
2141026501,2141026493,2.067271797
405984035,42436716,2.227716696
42809554,42809551,3.388752556
42910163,42836198,7.533486708
42809551,42809549,3.261247444
